Ticker,Date,Open,High,Low,Close,Adj Close,Volume
CCI,1998-08-18,12.875,13.125,12.875,13.0,9.24338436126709,5783000
CCI,1998-08-19,13.0,13.25,13.0,13.0,9.24338436126709,388700
CCI,1998-08-20,13.125,13.25,13.0,13.0,9.24338436126709,348500
CCI,1998-08-21,13.0,13.0,13.0,13.0,9.24338436126709,804000
CCI,1998-08-24,13.0,13.0,13.0,13.0,9.24338436126709,119700
CCI,1998-08-25,13.0,13.0,12.875,13.0,9.24338436126709,294100
CCI,1998-08-26,13.0,13.0,12.125,12.25,8.710112571716309,383800
CCI,1998-08-27,12.25,12.375,10.75,11.125,7.9102020263671875,435300
CCI,1998-08-28,11.375,11.375,10.0,10.0,7.110293865203857,192400
CCI,1998-08-31,10.0,10.125,7.625,8.125,5.777113437652588,150800
CCI,1998-09-01,8.25,9.0,6.6875,8.5,6.043750762939453,440700
CCI,1998-09-02,8.5,10.5,8.5,9.5625,6.799218654632568,509200
CCI,1998-09-03,9.75,9.75,8.5,8.75,6.221507549285889,165900
CCI,1998-09-04,9.0,9.0,8.125,8.375,5.954873085021973,155700
CCI,1998-09-08,9.0,10.0,8.75,9.875,7.021414279937744,149300
CCI,1998-09-09,9.875,10.0,9.5,9.5,6.754781723022461,116900
CCI,1998-09-10,9.375,9.375,9.0,9.25,6.577022075653076,80700
CCI,1998-09-11,9.3125,9.375,9.0,9.0,6.399265766143799,84800
CCI,1998-09-14,9.25,9.625,9.0,9.0,6.399265766143799,90800
CCI,1998-09-15,9.125,9.25,8.625,8.75,6.221507549285889,200400
CCI,1998-09-16,8.75,8.75,7.75,7.875,5.599358081817627,221300
CCI,1998-09-17,7.875,8.625,7.875,8.28125,5.888213634490967,87300
CCI,1998-09-18,8.375,8.6875,7.75,8.25,5.865993499755859,147300
CCI,1998-09-21,7.875,8.0,6.875,7.0,4.977205753326416,472900
CCI,1998-09-22,7.125,8.125,7.0625,8.0,5.688234806060791,728300
CCI,1998-09-23,8.25,8.625,8.0,8.375,5.954873085021973,382500
CCI,1998-09-24,8.5,9.375,8.5,9.0625,6.443704605102539,280800
CCI,1998-09-25,8.75,9.4375,8.75,9.375,6.665900707244873,44400
CCI,1998-09-28,9.5,9.875,9.375,9.375,6.665900707244873,26500
CCI,1998-09-29,9.5,9.75,9.25,9.53125,6.776998519897461,88300
CCI,1998-09-30,9.5,10.0625,9.375,9.625,6.843657970428467,172300
CCI,1998-10-01,9.625,9.625,8.875,8.875,6.310387134552002,85500
CCI,1998-10-02,8.875,9.25,8.875,8.875,6.310387134552002,58700
CCI,1998-10-05,8.75,8.875,8.0,8.0,5.688234806060791,63000
CCI,1998-10-06,9.0,9.125,8.0,8.375,5.954873085021973,129500
CCI,1998-10-07,8.375,8.625,7.8125,7.8125,5.55491828918457,340400
CCI,1998-10-08,7.75,7.8125,6.0,6.3125,4.48837423324585,346800
CCI,1998-10-09,7.0,7.125,6.125,6.25,4.443934440612793,271500
CCI,1998-10-12,6.5,6.5,6.0,6.25,4.443934440612793,660400
CCI,1998-10-13,6.25,7.5,6.25,7.0,4.977205753326416,228600
CCI,1998-10-14,6.875,7.625,6.875,7.625,5.4215989112854,46400
CCI,1998-10-15,7.5,7.625,7.375,7.5625,5.377159118652344,44100
CCI,1998-10-16,7.8125,8.375,7.5,7.875,5.599358081817627,421600
CCI,1998-10-19,8.125,8.5625,8.0,8.5625,6.0881876945495605,50600
CCI,1998-10-20,8.625,9.5,8.5,9.375,6.665900707244873,354800
CCI,1998-10-21,9.4375,10.375,9.4375,10.0,7.110293865203857,156000
CCI,1998-10-22,10.125,11.5,10.0,11.4375,8.132400512695312,134600
CCI,1998-10-23,11.625,13.125,11.375,13.0,9.24338436126709,411400
CCI,1998-10-26,13.0,13.0,12.625,12.75,9.06562328338623,125500
CCI,1998-10-27,12.875,13.375,12.375,12.4375,8.843426704406738,417500
CCI,1998-10-28,12.375,12.75,12.25,12.75,9.06562328338623,53000
CCI,1998-10-29,12.625,13.0625,11.75,12.0,8.532350540161133,280000
CCI,1998-10-30,12.0,12.875,11.875,12.875,9.15450382232666,198600
CCI,1998-11-02,12.9375,13.3125,12.625,12.875,9.15450382232666,105900
